// Specific Item Drop Ratio Database
// Overrides for global item_rate* values from conf/battle/drops.conf
//
// Structure of Database:
// ItemID,Ratio{,MonsterID}
//
// Result:
// ItemID base drop rates defined in mob_db will not get multiplied
//  by global item_rate* values (aka drop rates) from
//  conf/battle/drops.conf. Instead Ratio will be used (100 = 1x).
// If no MonsterID is specified, all monsters will be affected,
//  otherwise only listed ones.
//
// Examples:
// 909,100 // Jellopies from monsters will drop with 1x drop rate regardless of global drop rate
// 909,1000 // Jellopies from monsters will drop with 10x drop rate regardless of global drop rate
// 909,100,1002 // Jellopies from Porings will drop with 1x drop rate. Other monsters that drop Jellopies are unaffected (use global drop rate).
//
// Notes:
// - By default you can list up to 10 MonsterIDs per ItemID.
//   It can be changed in src/map/mob.c by adjusting MAX_ITEMRATIO_MOBS.
// - Only ItemIDs up to MAX_ITEMDB are supported (default: 32768).
// - Does not override item_drop_*_min/max settings.
// - Does not affect card/item-granted drops. To adjust card/item-granted
//   drops, edit them in item_db.
// - Does affect MVP prizes and Treasure Boxes.
// - You can add only ONE line per ItemID. If you need various ratios
//   for different monsters, override drop rate with Ratio=100 and edit
//   base drop rates in mob_db.
// - This file is reloaded by @reloadmobdb.

14533,100 // Battle_Manual100
29456,100 // _wings_elemental
7372,100 // Lotto12
29496,100 // Test_Box
6004,100 // Bapho_Doll

710,100 // illusion flower
7442,100 // cursed seal
5116,100 // banana hat
2700,100 // red silk seal bacso

1167,100 // egnigem cenia sword

// angel stuff (eclipse etc)
5125,100
2420,100
2521,100
2116,100
2355,100

7089,100 // stormy knight tempest item

704,100 // alloe

// Geffenia
2613,100 // diamond ring
2610,100 // gold ring

2235,100 // crown [0]

//[ring [0] etc
2601,100
2602,100
2603,100
2604,100
2605,100

// ring [1] etc
2621,100
2622,100
2623,100
2624,100
2625,100
2626,100

747,100 // cristal mirror

673,100 // copper coin
675,100 // silver
671,100 // gold
677,100 // platine
674,100 // mithril

29291,100 // angel wing ears slot
29292,100 // evil wing ears slot

13412,100 // Twin_Edge_B: 9000
13413,100 // Twin_Edge_R: 9000
2542,100 // Flame_Manteau: 9000

6245,100 // Black_Powder
5017,100 // Bone_Helm

621,100 // Bitter_Herb
6110,100 // Vital_Flower

2520,100 // goibne
5128,100 // goibne
2419,100 // goibne
2354,100 // goibne
7435,100 // Golden_Bracelet
702,100 // Animal_Blood

29400,100 // Heaven's_Coin
14533,100 // Battle_Manual100
12132,100 // Red_Bag
12260,100 // Cool_Summer_Outfit

990,100 // Boody_Red
991,100 // Crystal_Blue
992,100 // Wind_Of_Verdure
993,100 // Yellow_Live

7174,100 // Packing_Ribbon
7175,100 // Packing_Paper

2268,100 // Smoking_Pipe

7472,100
